year,stusps,fips,pop_tot,violent_arrest_per1000,pop_pct_pov
2016,AL,11,55049,11.026539991643808,12.266017070222352
2016,AL,13,199510,1.043101052123156,12.99379576891782
2016,AL,15,26614,5.169769117536546,26.37367285647816
2016,AL,17,22572,1.7327268789257098,16.453914478474008
2016,AL,111,10552,7.14319560272934,26.86625960212724
2016,AL,117,34018,8.539596684108414,20.3116139
2016,AL,119,25897,5.323975750086882,16.446102493618692
2016,AL,121,43817,5.197454004273756,20.274358559848505
2016,AL,125,24847,4.902503320320361,24.635962041884817
2016,AL,127,13483,5.815965784073772,16.748054326262782
2016,AL,129,14991,3.8133991506014713,19.61836208067364
2016,AL,133,54377,3.35080818271924,16.52754590984975
2016,AL,135,12697,14.412853429944082,32.53842497227064
2016,AL,139,37729,4.678099074982109,18.994488869677976
2016,AL,147,41426,27.748274030801912,34.300036679300646
2016,AL,153,37875,4.028602860286029,25.202606970813264
2016,AL,159,31573,4.604408830329712,22.28527459844186
2016,AL,161,26765,4.298524192041846,22.76807696678156
2016,AL,167,17187,6.08987412967165,15.2809785
2016,AL,175,14066,1.701798663443765,23.861514150265766
2016,AL,181,153947,6.005963091193722,23.01159187421095
2016,AL,183,90257,1.4837261006533196,14.100343043333602
2016,AL,185,10565,6.436346426881212,28.690089746037806
2016,AL,187,19684,8.208261967660464,25.536073584363322
2016,AL,189,349973,3.105722209767379,13.270371325425476
2016,AL,195,94534,2.5920669974661132,20.512325830653804
2016,AL,197,414291,2.0404646826654544,19.474122174836918
2016,AL,1101,227392,4.355744874320726,21.311668753288696
2016,AL,1103,119555,2.3021482441832903,16.30910049849431
2016,AL,1105,9856,1.6233766233766236,39.799072642967545
2016,AL,1109,33277,9.822600194328416,25.742069185397735
2016,AL,1111,22615,4.864028299801017,20.562270813527093
2016,AL,1113,58636,11.027781567637629,21.54190292878323
2016,AL,1115,86576,1.123868046571798,13.703751907900186
2016,AL,1129,16909,3.5299248920693125,21.608100777529987
2016,AL,1131,11119,4.0771052552687594,34.89211964070748
2016,AL,1133,24013,2.4657696379373455,20.56595744680851
2016,AK,220,299321,7.935341274799582,8.0983637
2016,AK,260,942,26.008492569002126,7.2510823
2016,AK,290,100150,1.7916874687968047,7.7582883
2016,AK,2100,2528,6.625791139240506,5.252686
2016,AK,2110,32524,22.29891772229738,7.423334099999999
2016,AK,2122,57637,1.3739004458941306,10.969002575717205
2016,AK,2130,13715,7.218374043018593,10.75499629903775
2016,AK,2150,13918,13.346026727978158,9.1536372
2016,AK,2170,98679,0.9715846330019559,9.667080200000001
2016,AK,2185,9681,27.502324140068175,11.210057621791513
2016,AK,2188,7723,41.305192282791666,24.535218643623985
2016,AK,2220,8921,6.641632104024213,9.0464826
2016,AK,2261,9522,3.583805923125394,8.5346387
2016,AZ,41,72346,5.04010697132348,36.20227445889889
2016,AZ,43,128177,1.6672257893381808,18.926389789441355
2016,AZ,45,138064,3.1980941206010733,22.163611207194744
2016,AZ,49,37529,1.6725527130813707,22.500909862913986
2016,AZ,411,9224,4.011274934952298,13.386173491853809
2016,AZ,412,20304,5.183707643814026,21.13153045470392
2016,AZ,415,203629,1.826655338876093,19.323740493448064
2016,AZ,417,108209,3.6041364396676805,29.90368314881285
2016,AZ,419,1003338,1.4932201765053705,19.085665696840557
2016,AZ,421,397604,0.8426003676918358,16.47279026488397
2016,AZ,423,46547,0.8958686918598406,21.85731937308968
2016,AZ,425,218586,0.7924238787362722,14.677907680842145
2016,AZ,427,203292,1.7674462955142962,20.47634279215471
2016,AR,51,18569,7.579837363347514,19.637578013796126
2016,AR,53,20989,3.1048009274699444,19.90939322376982
2016,AR,55,40992,2.207747853239656,13.83638475032738
2016,AR,511,11096,2.7036770007209805,28.825298459856008
2016,AR,515,27690,2.5550740339472733,17.480016060152572
2016,AR,517,11189,3.8821610510322637,30.92136540838642
2016,AR,519,22684,3.189472756127667,24.010487571219684
2016,AR,523,25587,4.049908156485715,15.490608743993963
2016,AR,525,8421,1.9000118750742192,20.047990401919616
2016,AR,527,24168,3.6101456471367097,24.943016759776537
2016,AR,529,21060,5.479582146248814,21.524276040916295
2016,AR,531,102884,1.8422967336306635,18.921930073329822
2016,AR,537,17329,6.645892242291341,19.759177679882526
2016,AR,539,7738,8.173946756267771,14.726840855106888
2016,AR,543,18688,4.329873002283105,27.735849056603772
2016,AR,547,17799,5.145420154690339,21.11416781292985
2016,AR,549,12186,1.9626347174353083,23.17542684968196
2016,AR,551,97119,8.774213667180028,20.63266935619432
2016,AR,553,18046,5.409786102183309,13.001290033092152
2016,AR,555,43745,9.246771059549664,17.742648941866694
2016,AR,557,22208,14.375450288184437,26.73082185533157
2016,AR,559,33440,0.6279904306220095,17.048208136717253
2016,AR,561,13487,1.7597192358073204,19.62039617383445
2016,AR,565,13461,6.933610677760445,21.97671655975291
2016,AR,569,72385,7.603094563790841,25.50148867703227
2016,AR,571,26025,4.322766570605188,21.376997435391594
2016,AR,573,7127,2.8342921285253264,26.3802797
2016,AR,575,16915,1.3671297664794562,23.64532019704433
2016,AR,579,13935,2.556512378902045,23.339822626000437
2016,AR,581,12616,4.795497780596069,19.389995933306224
2016,AR,587,15761,6.186155700780407,18.094993910646757
2016,AR,593,44199,3.888571409804192,25.528721832286667
2016,AR,597,9100,4.78021978021978,18.794127535582202
2016,AR,599,8668,4.087283275100534,30.782813419658623
2016,AR,5101,7988,5.508262393590386,21.639717028802423
2016,AR,5103,24728,6.332901973471368,24.5305502
2016,AR,5107,19929,13.485373074414172,33.462007314099964
