year_range,fips_st,fips_cnty,deaths,exp_tot,exp_correction,exp_police,rev_tot,rev_gen_ownsource,rev_int_gov,rev_prop_tax,rev_tax,pop_tot,pop_wht,pop_blk,pop_lat,pop_pct_pov,pop_pct_deep_pov,pop_med_income,pop_pc_income,violent.yr,property.yr,murder.yr,ft_sworn,cbsa,metroname
2007-2011,28,153,0,42303840,538160,1992680,50293159.99999999,38691720,9102840,7661960,7912440,20875,12408,8072,233,0.2724976931669176,0.1284541790102472,38921.12,22169.96,37,98.66666666666667,0.3333333333333333,11,NA,NA
2007-2011,28,155,0,10336640,34720,1543800,10171720,5845360,3625759.9999999995,4057279.9999999995,4181279.9999999995,10204,7961,1913,124,0.24734840904542726,0.053832299379627774,45126.08,23521.56,30.25,34,0,6,NA,NA
2007-2011,28,159,0,38110159.99999999,2695759.9999999995,3104960,45374080,21626840,5717640,5968120,6527360,19284,10045,8998,200,0.2281972100947716,0.084921734,40928.68,22708.12,62,48.25,0.25,14,NA,NA
2007-2011,28,163,1,42669640,401760,4817400,4495e4,20130160,8616760,14747320,15513640,28238,10630,15770,1310,0.3219125439909389,0.12552081226487602,34693.96,18265.2,183,422.5,1,21,NA,NA
2007-2011,29,003,0,7803320,0,1068879.9999999998,7567720,5598600,791120,466240,2631280,17073,16424,60,263,0.079388026,0.026081195036742562,67143.52,31507.16,19.75,76.5,0.083333333,5.666666666666667,41140,"St. Joseph, MO-KS Metropolitan Statistical Area"
2007-2011,29,005,0,6734440,0,711760,8099680,5075320,1463200,1383840,3863840,5742,5524,82,48,0.11098901098901098,0.039926739926739924,54969.2,29730.24,6.333333333333333,13.833333333333334,0,3.333333333333333,NA,NA
2007-2011,29,007,0,27877680,1282160,5143519.999999999,29402880,22192280,3918400,3815480,15611600,25623,22718,1682,650,0.17238026799678743,0.047892801285031913,51543.08,23901,81.83333333333333,147.91666666666666,0.083333333,23,NA,NA
2007-2011,29,011,0,41153120,429040,1672760,37774120,13241960,11124039.999999998,931240,4356120,12506,11834,15,206,0.1852931648850016,0.071023648,48538.56,23604.64,45.916666666666664,69.75,0.083333333,6,NA,NA
2007-2011,29,015,0,14964320,312480,2351040,13984720,8248480,5122440,1209e3,5646960,19058,18285,24,282,0.1780705482362941,0.076976201,42794.88,25483.24,50.1875,86.5625,0.1875,7.25,NA,NA
2007-2011,29,019,1,423404200,6095840,24390800,404500400,220323200,40777400,20042120,116445920,160628,130363,14214,4848,0.19212821804491342,0.098483442,58432.52,32202.8,386.53846153846155,770.1153846153846,0.6153846153846154,40.23076923076923,17860,"Columbia, MO Metropolitan Statistical Area"
2007-2011,29,021,5,164329760,0,16147280,168641240,139740560,24120480,28543560,75504840,88801,76886,3857,4461,0.15750020658474106,0.077664058,53798.64,27712.76,522.5833333333334,1338.25,1.1666666666666667,64.66666666666667,41140,"St. Joseph, MO-KS Metropolitan Statistical Area"
2007-2011,29,023,0,76386480,1525200,5747400,79041319.99999999,38413960,4689680,3029320,25749840,42607,38322,2232,725,0.20044876589379207,0.074794316,42259.2,24135.36,445,911.125,0.25,33.5,NA,NA
2007-2011,29,027,0,68812560,1414840,4538400,64083200,31283960,6384760,6115680,15777760,44026,39966,1887,773,0.11098194410091516,0.051100668,62829.56,29123.88,124.5625,346.1875,0.375,13.75,27620,"Jefferson City, MO Metropolitan Statistical Area"
2007-2011,29,039,0,17506320,0,2321280,15694680,8398520,1344160,1134600,4894280,14040,13494,49,189,0.19656992084432717,0.094766931,38877.72,19815.2,81.625,133.875,0.125,9.5,NA,NA
2007-2011,29,043,2,78556480,0,10075e3,77594240,51863e3,7645840,2870600,26402079.999999996,75998,71588,521,1944,0.10024892509617561,0.034317053,64431.64,30112.16,95.71428571428571,159.14285714285714,0.071428571,18.42857142857143,44180,"Springfield, MO Metropolitan Statistical Area"
2007-2011,29,051,2,92417200,0,16947079.999999996,93776240,81403520,9293800,15512400,58573880,75343,62677,8311,1787,0.10705015490245331,0.05039214,68919.2,33016.24,196.73076923076923,353.3846153846154,0.34615384615384615,62.92307692307692,27620,"Jefferson City, MO Metropolitan Statistical Area"
2007-2011,29,057,0,6926640,0,478640,7220519.999999999,2763960,2788759.9999999995,326120,1475600,7896,7504,48,112,0.21366092101878056,0.078209416,39987.52,21995.12,7.0625,17.3125,0,2.25,NA,NA
2007-2011,29,059,0,27549079.999999996,0,1361520,17201280,8961480,7451160,2602759.9999999995,6976240,16846,16121,18,243,0.20500150647785478,0.065622175,48523.68,22796.16,63.36363636363637,116.9090909090909,0.090909091,7.545454545454545,44180,"Springfield, MO Metropolitan Statistical Area"
2007-2011,29,065,0,15139160,276520,2044760,14980440,6586880,2401880,869240,4157720.0000000005,15550,14933,91,152,0.18793092126863223,0.058112811,45526.6,23563.72,46.25,157,0.375,12.5,NA,NA
2007-2011,29,067,0,23614560,328600,1551240,26709600,17596840,2390720,9497160,14294720,13682,13373,15,115,0.21133525456292027,0.08106111,40052,20057,56.875,109.5,0.5,7,NA,NA
2007-2011,29,079,0,19481640,153760,1411120,20451320,7981880,1504120,669600,3320720,10222,9822,101,98,0.13074133763094278,0.051672039,45371.6,23986.56,74,116,0.125,7.5,NA,NA
2007-2011,29,085,0,4064720,21080,621240,4141600.0000000005,2605240,1536360,463760,1754600,9603,8620,64,31,0.1726278140122028,0.060908899642331156,35774,20886.56,31.5,114,0.5,8,NA,NA
2007-2011,29,089,0,8259639.999999999,195920,1073840,7359400,4000240,2077e3,448880,2031120,10144,9233,545,132,0.14107708553326292,0.054910242872228086,58268.84,29113.96,11.75,18.3125,0.1875,4.75,17860,"Columbia, MO Metropolitan Statistical Area"
