year_range,fips_st,fips_cnty,deaths,exp_tot,exp_correction,exp_police,rev_tot,rev_gen_ownsource,rev_int_gov,rev_prop_tax,rev_tax,pop_tot,pop_wht,pop_blk,pop_lat,pop_pct_pov,pop_pct_deep_pov,pop_med_income,pop_pc_income,violent.yr,property.yr,murder.yr,ft_sworn,cbsa,metroname
2007-2011,30,083,0,21357760,23560,2112960,29340880,11122800,17195079.999999996,5908600,5952e3,9669,9029,23,285,0.12613743332287417,0.042359586,71192.12,36567.6,17.142857142857142,28.714285714285715,0,9.142857142857142,NA,NA
2007-2011,30,085,0,19751960,0,2971040,18474760,12655440,4337519.999999999,8138120,8192680,10323,3757,7,143,0.24351001875431844,0.12900996940084888,46880.68,21616.92,68,59.53846153846154,0.38461538461538464,8.384615384615385,NA,NA
2007-2011,30,087,0,36307200,471200,3338080,36148480,27911160,6880760,8148040,8169120,9200,5523,69,299,0.17952686270174661,0.070749503,55116.76,25739.92,48.125,54.75,0.25,10,NA,NA
2007-2011,30,089,0,16436200,529480,2193560,16359320,10702440,4806240,7614840,7719e3,11421,10362,24,216,0.21158308049259325,0.072371944,37656.32,22682.079999999998,34.375,47.875,0.125,4.25,NA,NA
2007-2011,30,091,0,9152440,60760,1223879.9999999998,10602e3,5350600,4778960,3137200,3143400,3426,3268,8,23,0.11859838274932614,0.020964360587002098,52263.52,34625.76,30.25,51,0.5,7,NA,NA
2007-2011,30,095,0,13090680,34720,1799240,14464600,11664680,2494880,8768039.999999998,8812680,9026,8617,23,200,0.09622262,0.054984354,70248.48,34050.4,34.125,40.875,0.125,5.5,NA,NA
2007-2011,30,097,0,16959480,42160,1004400,15786440,13651160,1776920,4482600,4497480,3702,3580,0,91,0.10762942779291552,0.05613079,51972.12,28319.12,25.5,31.25,0,6,NA,NA
2007-2011,30,099,0,12411160,0,1135840,11468760,8625440,2238200,4600400,4626440,6103,5814,2,96,0.14448857994041708,0.072989076,50605.64,27074.16,29.5,65.25,0,9,NA,NA
2007-2011,30,101,0,29915e3,104160,1543800,27523040,21409840,4895519.999999999,4601640,4667360,5176,4676,13,119,0.14793965323125421,0.049313218,55413.12,28672.52,73.75,79,0,12,NA,NA
2007-2011,30,107,0,3262440,0,597680,3434800,2560600,688200,1670280,1707480,2138,2094,1,0,0.1531573986804901,0.073044298,40090.44,23114.84,1.6666666666666665,0.6666666666666666,0,5,NA,NA
