fips,exp_police,pop_tot,ft_sworn,rev_prop_tax,violent.crimes,dissim_bw,dissim_wl
12073,95808540.00000001,284788,161.42857142857142,169366020.00000003,777.4642857142857,43.89,31.8
12085,56869740.00000001,153592,120.75,164681820,313.375,46.38,37.45
12086,1201935750,2664418,192.59420289855072,2711501340.0000005,1025.1666666666667,72.98,46.06
12095,417133560.00000006,1256055,221.5531914893617,859980270,1805.063829787234,49.29,40.2
12097,92239890.00000001,311962,197.66666666666669,177482340.00000003,1671.1666666666665,49.29,40.2
12099,677547330.0000001,1398757,124.83168316831683,1435317690.0000002,556.8316831683169,57.31,42.61
12101,111056610.00000001,488310,118,185890590.00000003,1323.7,54.32,40.67
12103,423038760,939548,156.84615384615384,610558830.0000001,1224.0576923076924,54.32,40.67
12105,180799020.00000003,637691,108.9,275036910.00000006,998.125,42.79,32.29
12109,77270430.00000001,218362,111.66666666666667,146250270.00000003,593.5833333333334,52.06,27.59
12111,99004230.00000001,293136,210,189182850,1145.4166666666667,46.38,37.45
12113,38049690,163903,76.33333333333334,52627320.00000001,379.4166666666667,46.8,21.62
12117,126043830.00000001,442905,108.875,248376930.00000003,610.59375,49.29,40.2
12127,176962860.00000003,510806,83.64285714285715,341010870.00000006,586.4464285714286,51.39,43.61
13007,612720,3250,1.8,1531800.0000000002,9,51.91,36.82
13013,14122530,73340,48.25,22181130,230.8125,58.35,49.45
13021,43445400,154194,162.1818181818182,91372980.00000001,867.8181818181819,51.12,34.1
13025,1758240.0000000002,18403,6.363636363636364,8618040,93.27272727272727,53.72,42.64
13027,3039180.0000000005,15645,17,6482400.000000001,120.625,44.27,28.84
13029,8507040,34104,23.333333333333332,14336760.000000002,80.83333333333333,48.72,34.69
13035,5110440.000000001,23479,26,13052490.000000002,86.125,58.35,49.45
13045,23364390.000000004,113756,32.36666666666667,34687500,256.5,58.35,49.45
13047,8562540,65645,36.666666666666664,13336650.000000002,332.3333333333333,62.95,38.84
13051,120188580.00000001,282613,73.18181818181819,230061930.00000003,400.3181818181818,48.72,34.69
13053,652680.0000000001,11882,6,407370.00000000006,1,54.75,36.61
13057,30721470,230629,78,89961060.00000001,225.125,58.35,49.45
13059,30567180.000000004,122037,103.73333333333333,53648520.00000001,817.5333333333333,41.66,44.95
13063,81314160,270269,76.76470588235294,149510340.00000003,631.7352941176471,58.35,49.45
13067,181655940,728388,113.8780487804878,370060680.00000006,875.9268292682927,58.35,49.45
13073,23456520,139904,78.66666666666667,33642990.00000001,344.1666666666667,44.62,29.88
13077,23062470,135625,57.25,52315410,333,58.35,49.45
13079,1586190,12483,11,4737480.000000001,116,51.12,34.1
13083,3599730.0000000005,16356,16,4168050,47.75,62.95,38.84
13089,149141820,723902,117.23404255319149,404808120.00000006,1243.5106382978722,58.35,49.45
13095,25206990,92326,79.52631578947368,49103070.00000001,354.4736842105263,51.91,36.82
13097,24772980.000000004,138283,157,49389450.00000001,660,58.35,49.45
13101,532800.0000000001,4025,8,1904760.0000000002,7,44.27,28.84
13103,8894430,55852,22.5,19981110,84.4375,48.72,34.69
13113,27038490,109495,66.25,59133030.00000001,83.5,58.35,49.45
13115,16308120,96199,61.25,47521320.00000001,500.125,46.71,52.14
13117,35685390.00000001,203841,133,82439700.00000001,342.875,58.35,49.45
13121,354171030,996757,166.26436781609195,1055573370.0000001,935.7126436781609,58.35,49.45
13127,25298010.000000004,82623,54.75,41465160,475.3125,53.72,42.64
13135,177326940,874242,111.85714285714285,430721070.00000006,891.7428571428571,58.35,49.45
13139,28420440.000000004,190482,65,74176860,317.22222222222223,43.61,52.9
13143,5517810,28667,21.25,12370950,122.8125,58.35,49.45
13145,4319010,32992,19.666666666666668,10974570.000000002,27.833333333333332,54.75,36.61
13149,2063490.0000000002,11571,12,4939500,59.5,58.35,49.45
13151,34062570,214171,85.6,73742850,427.5,58.35,49.45
13153,31754880,149137,70.25,74981610,841.375,24.3,28.06
13159,2012430,13571,14.333333333333332,6158280.000000001,66.5,58.35,49.45
13169,4337880,28701,28,12910410.000000002,82.375,51.12,34.1
13171,3842820,18195,18,6012870.000000001,146.08333333333334,58.35,49.45
13173,1730490.0000000002,10382,10,3653010,57.25,44.27,28.84
13177,4847370.000000001,29134,39,13807290,134.75,51.91,36.82
13179,13124640.000000002,63949,50,22852680,401.08333333333337,26.67,22.99
13183,2213340,17243,11.142857142857142,4996110.000000001,77.28571428571429,26.67,22.99
13189,4122540,21558,16,7140630.000000001,131.5,44.62,29.88
13191,3761790.0000000005,13941,34.800000000000004,8725710.000000002,117,53.72,42.64
13195,2458650,28362,18,9696960.000000002,146.25,41.66,44.95
13197,834720,8646,5.5,2487510,38,54.75,36.61
13207,6640020,27044,34,18511470,50.5,51.12,34.1
13213,4022640.0000000005,39358,18.333333333333332,9070920,201.91666666666666,36.72,42.93
13215,54060330,200303,214.22222222222223,110598180.00000001,1918.3333333333333,54.75,36.61
13217,17724480.000000004,103901,54.25,37296000,237.1875,58.35,49.45
13219,4518810,35071,27,12998100,52.5,41.66,44.95
13221,1106670,14743,19,4100340,197.25,41.66,44.95
13223,19013190.000000004,149830,69,44983860,574,58.35,49.45
13227,5819730.000000001,29992,28.857142857142858,12034620,129.14285714285714,58.35,49.45
13245,44343390.00000001,201418,104.8,63659610.00000001,776.75,44.62,29.88
13247,18286140.000000004,87569,108.5,40712580,509.25,58.35,49.45
13255,16329210.000000002,64006,105,35098200.00000001,713,58.35,49.45
13273,2269950.0000000005,9132,11,4976130,52.875,51.91,36.82
13289,2293260,8363,12.625,4735260,35.625,51.12,34.1
13295,9590400.000000002,68143,24.4,11404140.000000002,301.85,62.95,38.84
13297,17698950,87436,51.75,44574270.00000001,251.8125,58.35,49.45
13313,17284920.000000004,103653,53.5,28314990,373.375,36.72,42.93
13321,5069370.000000001,20988,10.5,6632250.000000001,39.3125,51.91,36.82
15003,269100630,986999,1934,902784090.0000001,7170,32.14,31.94
16019,20912400,108989,77,58444830,591.875,21.04,25.3
16041,2258850.0000000005,13013,8,4027080.0000000005,21.75,28.68,31.07
16045,2642910.0000000005,16853,13,11944710.000000002,53.875,24.57,36.19
16069,10990110,39995,28.333333333333336,31952460.000000004,175.5,23.94,15.58
17005,3782880,17137,10.5,3948270.0000000005,2.75,70.65,30.65
17007,10387380.000000002,53656,41.5,17271600.000000004,34,54.78,39.16
17037,27769980.000000004,104458,21.186046511627907,49741320.00000001,25.837209302325583,75.87,56.96
17043,325975920.00000006,930514,55.84375,359080560.00000006,21.328125,75.87,56.96
17053,3119100.0000000005,13758,8,4790760,11.75,52.26,37.12
17063,11226540,50338,21.75,28427100.000000004,10.25,75.87,56.96
17073,12513030,49681,16.11111111111111,18666870.000000004,12.222222222222221,47.84,37.75
17083,3750690.0000000005,22441,11,5228100,10.416666666666666,70.65,30.65
17117,10247520,46482,10.878787878787879,6704400.000000001,8.09090909090909,70.65,30.65
17119,71290860,266759,25.450704225352112,107075040.00000001,31.676056338028168,70.65,30.65
17123,2040180.0000000002,12060,5.923076923076923,5574420,5.615384615384615,68.62,35.86
17129,2194470.0000000005,12576,5.444444444444445,4422240.000000001,2.7777777777777777,54.05,20.61
17131,2296590,15971,8.666666666666668,6141630,11.166666666666666,47.84,37.75
17133,6411360.000000001,33703,10.75,13630800.000000002,3,70.65,30.65
17161,46603350.00000001,146536,32.92307692307692,80754720,51.666666666666664,47.84,37.75
17175,1053390,5840,5,1797090.0000000002,4,68.62,35.86
17179,33611910,135400,17.152173913043477,33861660,25.47826086956522,68.62,35.86
17201,101599410,288896,56.375,113930400.00000001,630.475,54.78,39.16
18111,1418580.0000000002,14022,14,6747690.000000001,40.25,76.8,43.74
18163,50390670.00000001,181692,202.42857142857142,123338760.00000001,2053.285714285714,49.98,26.52
19061,21297570.000000004,96359,58.66666666666667,72568470,407,48.03,25.17
19077,1693860.0000000002,10691,5,8914410.000000002,19.5,48.83,46.71
19163,41031150,171116,34.40625,157551180.00000003,357.59375,47.84,37.75
20043,1494060.0000000002,7793,6.6000000000000005,5670990.000000001,48.550000000000004,37.89,28.64
20045,25694280.000000004,116352,47.588235294117645,76686570,393.2352941176471,24.97,18.67
20079,6838710.000000001,34814,9.137931034482758,18744570.000000004,78.75862068965517,54.76,42.33
20107,1994670,9524,4.3999999999999995,11385270,19.266666666666666,58.64,44.37
20121,5727600,32787,15.75,23707380,79.375,58.64,44.37
20139,3052500.0000000005,16001,5.68,10438440,21.08,49.22,43.16
20173,123647340.00000001,508221,50.617283950617285,329239320,749.5185185185185,54.76,42.33
20177,53680710.00000001,178567,94.73333333333333,123720600,266.35555555555555,49.22,43.16
20191,4471080.000000001,23509,7.720000000000001,17091780.000000004,55.72,54.76,42.33
20197,1067820.0000000002,6960,2.6999999999999997,5309130,22.6,49.22,43.16
20209,57597900,161777,79,106846380,643.3571428571429,58.64,44.37
21015,16968570,125656,95,23823930,365.375,66.9,36.87
21019,6217110.000000001,48716,26.333333333333332,10970130.000000002,157.91666666666666,50.32,25.47
21023,683760.0000000001,8404,3.5,1649460,21.125,66.9,36.87
21047,13125750.000000002,73936,28.75,12608490.000000002,173.6875,39.31,39.22
21049,4252410.000000001,35706,21.11111111111111,5096010,143.11111111111111,45.74,38.85
21059,16261500.000000002,98724,69,20129850.000000004,686.875,44.24,32.19
21061,742590,12086,4,1053390,14.75,37.7,38.12
21067,52842660,311529,130.8,95396730.00000001,896.95,45.74,38.85
21081,2263290.0000000005,24705,9.5,3547560.0000000005,40.25,66.9,36.87
21089,4004880.0000000005,36255,6.806451612903226,8136300.000000001,8.258064516129032,50.32,25.47
21091,679320,8716,3,707070,4.666666666666667,44.24,32.19
21101,6757680,46362,39,11976900.000000002,350.5,49.98,26.52
21113,8556990.000000002,51015,29.333333333333332,8451540,128.66666666666666,45.74,38.85
21123,808080,14127,4.5,1966920,8.75,40.4,32.3
21163,1269840.0000000002,28751,4.666666666666667,3818400.0000000005,16.166666666666668,56.24,38.69
21179,3885000.0000000005,44875,12.25,7485840.000000001,43.5,56.24,38.69
21191,1276500,14509,6.5,1972470.0000000002,26,66.9,36.87
21209,6233760,51348,26.53846153846154,6107220,160.69230769230768,45.74,38.85
21211,4240200.000000001,44967,16.666666666666668,7515810,98.66666666666667,56.24,38.69
21215,1375290.0000000002,17798,5.5,1531800.0000000002,11.75,56.24,38.69
21221,1435230,14267,7.5,2177820,53,39.31,39.22
21223,237540.00000000003,8751,3,470640.00000000006,2.5,56.24,38.69
21227,21980220,121066,43,25189230.000000004,277.8125,37.7,38.12
21239,6497940.000000001,25591,24,2939280,134.5,45.74,38.85
22005,26244840.000000004,117009,131.22222222222223,48596910,888.5555555555555,57.15,32.73
22015,46890840.00000001,124720,161.66666666666666,50829120,826.3333333333334,56.37,31.76
22019,67465800,197233,113.8,118665660,517.4666666666667,60.78,20.75
22023,3977130.0000000005,6739,48,31004520.000000004,103,60.78,20.75
22031,8568090,27047,34.63636363636363,29080890.000000004,191.8181818181818,56.37,31.76
22033,147926370.00000003,445337,193,177380220,1603.8333333333333,57.15,32.73
22037,3867240.0000000005,19756,34,3069150,28.875,57.15,32.73
22043,3656340,22372,14.76923076923077,4455540,34.61538461538461,59.48,36.01
22047,15003870,33159,27.384615384615383,21063360,204,57.15,32.73
22051,113598510.00000001,435204,227.8,264672840.00000003,1542.3,63.33,38.28
22055,70990050,234963,116.16666666666666,114667440.00000001,646.4583333333334,44.32,24.23
22057,28384920.000000004,97688,88.75,50692590.00000001,204.625,42.57,26.38
22063,21117750.000000004,135925,29.833333333333332,32414220,277.875,57.15,32.73
22071,159364920,382922,493.3333333333333,284390880,2647.6666666666665,63.33,38.28
22075,14719710.000000002,23584,145,36565620,215.25,63.33,38.28
22077,6689970,22366,66.66666666666667,12777210.000000002,184.66666666666666,57.15,32.73
22079,47024040,132373,117.06666666666666,47468040,1245.9333333333334,59.48,36.01
22087,14317890.000000002,44091,189,14477730.000000002,804.25,63.33,38.28
22089,20156490,52708,291,62811570.00000001,844.75,63.33,38.28
22091,1635030.0000000002,10714,22,3443220.0000000005,153.25,57.15,32.73
22095,12953700,43888,150,29865660.000000004,325.25,63.33,38.28
22099,13140180,53385,27.4,18814500,228.7,44.32,24.23
22109,30227520.000000004,113099,189,60732540.00000001,1041.125,42.57,26.38
22111,3594180.0000000005,22460,12.75,4977240.000000001,70.5,63.37,31.69
22121,11603940,25017,53.5,18191790,94.5,57.15,32.73
22125,4616490.000000001,15384,29,12323220.000000002,69.5,57.15,32.73
23001,15145950,107376,26,133095660,167.46428571428572,53.38,23.95
23031,37112850.00000001,200536,20.625,246256830.00000003,149.03125,45.2,23.77
24001,9897870,73060,22.5,62828220.00000001,361.6875,51.87,34.66
24003,128492490,559737,287.85714285714283,724661280,1685.7142857142858,64.31,39.76
24005,229203900.00000003,825666,606.75,942356700.0000001,3516.3125,64.31,39.76
24009,16867560,90527,110,167546730,706.5,64.13,48.15
24013,24660870.000000004,167535,21,247052700,239.57142857142858,64.31,39.76
24015,20408460.000000004,102175,26.047619047619047,128157270,285.23809523809524,50.26,44.64
24021,59501550,243465,83,397644180.00000006,641.3125,47.92,48.79
24025,71001150.00000001,249776,97.25,356241180.00000006,574.75,64.31,39.76
24027,92740500.00000001,308447,424,632709990.0000001,3289.75,64.31,39.76
24031,317876250,1026371,324.6470588235294,2240646000,1254.8235294117646,47.92,48.79
24033,270490350.00000006,897693,85.42857142857143,1250205210.0000002,308.19642857142856,64.13,48.15
24039,4882890,25899,12.666666666666666,21232080,33.833333333333336,41.96,31.57
24045,25078230.000000004,101527,26.6,92931420.00000001,394,41.96,31.57
24510,412414950,621000,501.38461538461536,847783590.0000001,2697.9615384615386,64.31,39.76
25011,9819060.000000002,70916,8.255813953488373,141718140,56.46511627906977,61.55,63.4
25013,103662900.00000001,468072,73.76666666666667,765621390,712.6333333333333,61.55,63.4
25015,35298000,161035,21.142857142857142,253389690.00000003,98.01785714285714,61.55,63.4
25017,322310700,1567610,51.76146788990826,4071042660,201.82110091743118,44.69,44.08
25021,148755540,691218,47.36538461538461,1809469830,149.60576923076923,67.84,62.02
25025,371723460,767719,317.25,2018197560.0000002,1838.78125,67.84,62.02
25027,147753210.00000003,813589,26.23111111111111,1439735490.0000002,171.76444444444445,49.29,52.67
26015,5843040.000000001,59316,10.4,23709600.000000004,90.4,61.35,50.4
