year_range,fips_st,fips_cnty,deaths,exp_tot,exp_correction,exp_police,exp_welfare,rev_tot,rev_fines,rev_gen_ownsource,rev_int_gov,rev_prop_tax,rev_tax,pop_tot,pop_pct_men_15_34,pop_wht,pop_blk,pop_ami,pop_api,pop_lat,pop_pct_pov,pop_pct_deep_pov,pop_med_income,pop_pc_income,violent.yr,property.yr,murder.yr,ft_sworn,cbsa,metroname,dissim_bw,dissim_wl
2012-2016,27,133,0,32080110.000000004,654900.0000000001,2096790,3979350.0000000005,33314430,12210,14559870,8792310.000000002,7683420.000000001,8230650.000000002,9554,0.10822692066150304,9031,75,64,88,246,0.10688658027203599,0.03287994002356217,58646.850000000006,30673.74,86,68.25,0,11,NA,NA,NA,NA
2012-2016,27,147,0,149334960.00000003,5224770,8165160.000000001,9046500,148712250,301920,56572260,28257270.000000004,31330860.000000004,33531990.000000004,36541,0.1249828959251252,32026,1079,50,438,2636,0.09443038678641938,0.03475794566637933,64536.51000000001,31896.960000000003,86.0909090909091,275.6363636363636,0,20.454545454545453,NA,NA,NA,NA
2012-2016,27,149,0,26355840.000000004,44400.00000000001,2811630,2770560.0000000005,25513350.000000004,44400.00000000001,12536340.000000002,10170930,7766670.000000001,8077470.000000001,9762,0.1786519155910674,8760,82,187,178,447,0.17431583430944522,0.11926312426791609,62094.51,29553.750000000004,16.333333333333332,48.166666666666664,0,5.666666666666666,NA,NA,NA,NA
2012-2016,27,155,0,20207550.000000004,606060.0000000001,1214340.0000000002,1586190,18907740,3330,13316670.000000002,4936170,6421350,6440220,3397,0.1003826906093612,3091,15,137,0,77,0.09228441754916793,0.03872919818456883,55869.630000000005,34401.12,6.166666666666667,19.666666666666668,0,4.5,NA,NA,NA,NA
2012-2016,27,157,0,73437600,2436450.0000000005,6116100,4445550,73591890,140970,35567730,20876880,19972230.000000004,20725920.000000004,21327,0.10953251746612276,20245,46,51,88,613,0.06622485207100592,0.03067455621301775,65340.15000000001,34925.04,17.6,49.199999999999996,0,10.466666666666667,40340,"Rochester, MN Metropolitan Statistical Area",46.35,31.25
2012-2016,27,161,0,69316170.00000001,45510.00000000001,5373510,10937940,66185970,138750,32595150,14453310.000000002,15453420.000000002,16279260.000000002,19034,0.12067878533151204,17024,509,133,93,1079,0.07811004111054795,0.03131159542715549,59050.89000000001,30168.690000000002,23.8,77.33333333333333,0,8.4,NA,NA,NA,NA
2012-2016,27,165,0,43727340.00000001,471750.00000000006,2648460,4805190.000000001,42819360,27750.000000000004,18260610,10982340,8981010,9139740.000000002,10996,0.12695525645689343,8225,70,50,131,2489,0.11718102257024413,0.045232611699677565,55575.48,29163.030000000002,26.5,69.875,0,8,NA,NA,NA,NA
2012-2016,27,169,0,94365540.00000001,3190140.0000000005,9741360,11242080.000000002,95119230.00000001,317460.00000000006,45707580,40519440,28418220,31275360.000000004,51145,0.17800371492814546,46899,755,170,1354,1400,0.13908031308490726,0.059788157223073,58652.40000000001,28823.370000000003,54.333333333333336,127.72222222222223,0.1111111111111111,15.11111111111111,NA,NA,NA,NA
2012-2016,27,173,0,69380550,1275390,1833720.0000000002,8269500,61004490.00000001,48840,40532760,13415460.000000002,10336320.000000002,10551660.000000002,10038,0.12203626220362622,9097,24,331,61,416,0.11333604391136409,0.03425492986379346,60735.87,30731.460000000003,17,34.36363636363636,0.2727272727272727,5.181818181818182,NA,NA,NA,NA
2012-2016,28,001,1,107671110.00000001,1569540.0000000002,8004210.000000001,237540.00000000003,111172050,1285380,88206150.00000001,19604820.000000004,19773540,24101430.000000004,31747,0.12763410715973164,11891,17056,33,42,2538,0.3039145421657964,0.14678679908535544,34724.130000000005,20081.010000000002,281.42857142857144,705.8571428571429,1.857142857142857,40.285714285714285,NA,NA,NA,NA
2012-2016,28,005,1,11354190,506160,1472970,0,10974570.000000002,577200,6583410.000000001,3504270.0000000005,4260180,4324560,12692,0.10368736211786952,7280,5332,3,18,35,0.2797297297297297,0.11089030206677265,30340.74,19928.940000000002,10,3,1,3,NA,NA,NA,NA
2012-2016,28,021,0,20234190.000000004,428460.00000000006,1525140,74370,20945700,85470.00000000001,10830270,9580410.000000002,4067040.0000000005,4365630,9209,0.1609295254642198,1162,7905,19,80,122,0.4119624434913643,0.2216297670105483,27750.000000000004,14367.840000000002,81,109.83333333333334,1.3333333333333333,10,NA,NA,NA,NA
2012-2016,28,025,0,37242720,0,4495500,359640.00000000006,37788840.00000001,341880.00000000006,14072580.000000002,5935170,10088790,10461750.000000002,20147,0.11768501513873034,7923,11734,60,135,257,0.26017449190579456,0.12819607645367895,36787.62,21197.670000000002,162,181.5,1.125,16,NA,NA,NA,NA
2012-2016,28,029,0,44649750.00000001,741480,5193690.000000001,35520,42445290,879120.0000000001,31006740,9310680,11778210.000000002,12569640.000000002,28780,0.13248783877692843,12889,14848,3,86,831,0.28071431127652724,0.1329134309129299,38559.18,20188.68,42.5,79.25,0.25,13,27140,"Jackson, MS Metropolitan Statistical Area",55.77,42.92
2012-2016,28,031,0,52911480,531690,3028080.0000000005,52170,61228710.00000001,435120.00000000006,50194200.00000001,6178260,7767780.000000001,8211780.000000001,19503,0.1213146695380198,11936,7276,0,48,145,0.2578239098685583,0.10233674108074275,35169.240000000005,18804.510000000002,6,36,0,8,NA,NA,NA,NA
2012-2016,28,033,3,253176570.00000003,11829270,42234390.00000001,0,266771850.00000003,7560210.000000001,184708440,48393780.00000001,111611610.00000001,130832370.00000001,170890,0.13082684767979402,115200,42384,233,2299,8109,0.1000118021952083,0.0365750029505488,66723.21,30119.850000000002,416.88235294117646,769,0.7647058823529411,71.88235294117648,32820,"Memphis, TN-MS-AR Metropolitan Statistical Area",62.22,50.67
2012-2016,28,035,0,617865960.0000001,14842920.000000002,16809840,0,621358020,1363080.0000000002,557647350.0000001,54567600.00000001,50302980,61243140.00000001,76274,0.16124760731048587,43788,28087,192,704,2344,0.2732323093424273,0.1241440004400319,41088.87,22415.340000000004,372.2,1209.1000000000001,2.7,82.8,25620,"Hattiesburg, MS Metropolitan Statistical Area",49.26,39.08
2012-2016,28,037,0,23789520,87690.00000000001,1717170,0,23727360,355200.00000000006,17668980.000000004,4432230.000000001,3462090,3826170.0000000005,7818,0.10974673829623945,4941,2792,1,3,81,0.18700557644922838,0.07534690701595124,44489.91,25273.590000000004,45.5,54,1,0,NA,NA,NA,NA
2012-2016,28,039,3,65009370,3631920.0000000005,2752800,113220.00000000001,65850750,760350,57109500.00000001,8301690.000000001,8495940,9124200,23313,0.13670484279157552,20503,1630,52,287,545,0.17944449312187857,0.09922894944361693,52517.43000000001,22910.4,54.4,57.4,1,15.4,37700,"Pascagoula, MS Metropolitan Statistical Area",51.26,32.51
2012-2016,28,041,0,21400800.000000004,0,2990340,6917520,21350850.000000004,325230,13031400.000000002,7825500.000000001,6238200.000000001,6484620.000000001,13941,0.1909475647371064,10004,3569,35,0,146,0.18048090523338048,0.07694483734087694,44476.590000000004,17381.49,18.833333333333332,22.5,0.5,6,NA,NA,NA,NA
2012-2016,28,043,0,92303160,1020090.0000000001,6233760,0,91794780.00000001,1168830.0000000002,74653050,14578740.000000002,13341090.000000002,14304570.000000002,21518,0.11213867459801097,11909,9417,54,8,26,0.24114079969679741,0.0992040932347925,36658.86,22823.820000000003,64.5,175.83333333333334,1.3333333333333335,23.666666666666664,NA,NA,NA,NA
