year_range,fips_st,fips_cnty,deaths,exp_tot,exp_correction,exp_police,exp_welfare,rev_tot,rev_fines,rev_gen_ownsource,rev_int_gov,rev_prop_tax,rev_tax,pop_tot,pop_pct_men_15_34,pop_wht,pop_blk,pop_ami,pop_api,pop_lat,pop_pct_pov,pop_pct_deep_pov,pop_med_income,pop_pc_income,violent.yr,property.yr,murder.yr,ft_sworn,cbsa,metroname,dissim_bw,dissim_wl
2007-2011,01,001,3,49742600,2101800,9306200,636120,56454720,538160,46527280,9626120,7847960,34602200,53944,0.1274284443126205,41653,9755,114,385,1298,0.10878692317739919,0.05094138941240134,66834.76,31043.4,378.25,522.5,0.3333333333333333,34.666666666666664,33860,"Montgomery, AL Metropolitan Statistical Area",54.3,42.72
2007-2011,01,005,1,28588200,1037879.9999999999,5537840,29759.999999999996,33706920,617520,24709480,5992920,5124920,18292480,27546,0.15889784360705728,12941,12632,92,147,1344,0.2471759447379114,0.1164160910199106,42210.84,19714.76,88.66666666666667,73,0.05555555555555555,8.666666666666666,NA,NA,NA,NA
2007-2011,01,007,0,13036120,80600,2421720,2480,13601560,124e3,8257160,5344400,1883560,6363680,22746,0.12872592983381692,17084,5153,77,12,375,0.156548941379154,0.062111801242236024,50227.44,22892.88,53.55555555555556,72.16666666666667,0.05555555555555555,6,13820,"Birmingham-Hoover, AL Metropolitan Statistical Area",65.22,44.52
2007-2011,01,009,0,36644480,1703760,6853480,168640,33338640,652240,23612079.999999996,7676840,6288040,17807640,57140,0.12779138956947847,50891,806,342,48,4475,0.13708269403735251,0.052448724053401057,56300.96,26269.4,99.07142857142857,149.35714285714286,0.07142857142857142,11.571428571428571,13820,"Birmingham-Hoover, AL Metropolitan Statistical Area",65.22,44.52
2007-2011,01,011,0,10940520,0,2285320,297600,11783720,64480.00000000001,6335160,5448560,2630040,4615280,10877,0.14581226441114278,2431,7619,18,18,684,0.25991399904443385,0.1549928332537028,39624.2,25640.72,79.85714285714286,108,0.2857142857142857,7.571428571428571,NA,NA,NA,NA
2007-2011,01,013,1,30533760,487320,4067200,358360,25048e3,111600,18948440,6099560,3842759.9999999995,15601680,20860,0.11668264621284756,11338,9091,30,164,91,0.25713591052759543,0.099927060539752,38778.52,21192.84,137.33333333333334,154.8,0.2,11.933333333333334,NA,NA,NA,NA
2007-2011,01,015,5,187392520,3881200,21140760,996960,222413840,1574800,141444320,59609280,25640720,104643600,117614,0.1340401652864455,86884,24103,330,844,3720,0.2041257230469022,0.0894487420726183,48939.08,25919.72,429.60714285714283,710.8214285714286,1.3571428571428572,30.571428571428573,11500,"Anniston-Oxford, AL Metropolitan Statistical Area",44.24,32.4
2007-2011,01,019,1,16241520,1372680,2596560,142600,17302960,78120,12635600,4667360,3293440,11527039.999999998,25819,0.10891204151981099,23758,1283,181,60,331,0.20781836130306022,0.06661401776900296,46912.92,26874.52,71.64285714285714,129.92857142857142,0.07142857142857142,9.785714285714286,NA,NA,NA,NA
2007-2011,01,021,0,36301e3,1917040,7172160,47120,39094720,802280,29778600,5433680,10785520,24990960,43444,0.13083509805726912,35501,4169,253,103,3052,0.17382503489995346,0.06726384364820846,50118.32,25824.24,205.89473684210526,228.05263157894737,0.10526315789473684,14.105263157894736,13820,"Birmingham-Hoover, AL Metropolitan Statistical Area",65.22,44.52
2007-2011,01,023,1,13161360,0,1939360,1240,14512960,43400,9445080,5067880,3724960,4216e3,13953,0.09854511574571777,7727,6011,0,45,37,0.20488653664902487,0.0706880301602262,39913.12,22569.24,8.818181818181818,16.636363636363637,0,3.5454545454545454,NA,NA,NA,NA
2007-2011,01,025,1,33430400,1318120,5372920,58280,34836560,548080,26841040,5385320,3422400,22631240,26046,0.11333794056668971,14088,10872,492,107,287,0.2722588144130182,0.0790778767919411,36788.32,22904.04,82,74.8125,0.875,10.4375,NA,NA,NA,NA
2007-2011,01,027,1,11143880,0,2692040,69440,11173640,70679.99999999999,6273160,4900480,2006320,4367280,14010,0.11063526052819414,11228,2213,21,0,378,0.18739489654163924,0.05001096731739416,43908.4,22672.16,98.0909090909091,54.72727272727273,0,8.363636363636363,NA,NA,NA,NA
2007-2011,01,031,0,62035960,1774440,7790920,851880,58505680,362080,42117840,7072960,7302360,30920640,49221,0.13640519290546718,35761,8565,441,548,2921,0.17730100659349746,0.07217709431388356,52160.6,28461.72,153.11111111111111,186.27777777777777,0.5555555555555556,19.055555555555557,NA,NA,NA,NA
2007-2011,01,033,1,188711880,2063360.0000000002,9896440,465e3,196416e3,1181720,68844800,23412440,15094520,43321880,54478,0.114504937773046,43457,8785,326,208,1115,0.164837613503426,0.06007093383841197,49906.28,26899.32,117.15384615384616,255.03846153846155,0.11538461538461539,16.576923076923077,22520,"Florence-Muscle Shoals, AL Metropolitan Statistical Area",42.04,29.43
2007-2011,01,037,0,12050320,0,1826520,256680,12543840,48360,6002840,5286120,1726080,4069680,11303,0.11315579934530656,7418,3598,0,0,196,0.18796855000914245,0.09224721155604315,46116.84,24757.84,68.625,98.75,0.25,5.125,NA,NA,NA,NA
2007-2011,01,041,0,19972680,2218360,1884800,158720,19692440,565439.9999999999,9290080,4405720,3065280,5570080,13938,0.12239919644138327,9984,3131,101,180,193,0.16927102260338686,0.06824623882549603,47170.84,27271.32,84.2,93.10000000000001,0.1,6.6,NA,NA,NA,NA
2007-2011,01,047,0,54253720,0,15860840,265360,54972920,0,43159440,11813480,12232600,35137880,43868,0.11623506884289231,12911,30207,42,155,316,0.34697123363451965,0.15809976028028766,33367.159999999996,21401.16,1300.5714285714287,1214.5714285714287,2.571428571428571,38.85714285714286,NA,NA,NA,NA
2007-2011,01,051,3,52205240,2458920,8614280,16120.000000000002,54021840,1024240,40637280,7907480,7671880,28378640,78641,0.1372057832428377,58959,15757,317,426,2071,0.12395691093915946,0.05383374022427277,67990.44,29546.72,179.68421052631578,265.42105263157896,0.42105263157894735,16.210526315789473,33860,"Montgomery, AL Metropolitan Statistical Area",54.3,42.72
2007-2011,01,053,3,42895320,1530160,8020320,16120.000000000002,45893640,772520,28335240,6074760,4502440,22254280,38081,0.14474409810666736,23439,12088,1423,155,733,0.23712714075082228,0.12702733356016785,39231.12,20471.16,139.30434782608697,182.65217391304347,0.3913043478260869,19.956521739130434,NA,NA,NA,NA
2007-2011,01,055,4,153528120,4220960,25893680,518320.00000000006,160819320,1770720,133951e3,18014720,17152920,108633920,104216,0.12267789974667997,82881,15687,346,747,3371,0.17984029399978496,0.06881823424198294,46837.28,25814.32,345,492.37931034482756,0.5862068965517242,28.137931034482758,23460,"Gadsden, AL Metropolitan Statistical Area",66.37,43.94
2007-2011,01,057,0,14202960,400520,1780640,0,41732200,138880,13641240,27301079.999999996,3679080,11394360,17361,0.11387592880594435,14911,1923,36,71,198,0.1971500615727438,0.06092769600656776,41388.72,22736.64,59.72727272727273,95.0909090909091,0.09090909090909091,9.545454545454545,NA,NA,NA,NA
2007-2011,01,059,0,55804960,6827440,3909720,592720,46868280,323640,20513320,4428040,5421280,13467640,31532,0.1295509323861474,25353,1344,160,44,4417,0.20107402405299377,0.07614637597273137,44430.44,23206.6,109.73333333333333,111.53333333333333,0.2,12.066666666666666,NA,NA,NA,NA
2007-2011,01,061,1,34633200,0,4212280,605120,35415640,353400,19252240,9070600,3620800,10435840,26646,0.11596487277640172,22569,2560,56,26,877,0.1911249809712285,0.07820825087532349,43693.88,24948.8,101.33333333333333,99.05555555555556,0.2222222222222222,7.777777777777778,20020,"Dothan, AL Metropolitan Statistical Area",45.25,26.05
2007-2011,01,063,0,7325920,544360,1272240,3719.9999999999995,7657e3,58280,4353640,2838360,1443360,3216560,9170,0.12431842966194111,1644,7489,22,0,0,0.3173055859802848,0.14797371303395399,28524.96,18860.4,155,127.875,0.125,8.875,46220,"Tuscaloosa, AL Metropolitan Statistical Area",54.34,34.69
2007-2011,01,065,0,15909200,0,2657320,322400,17100840,286440,9838160,5438640,1688879.9999999998,5267519.999999999,15972,0.12290257951414976,6337,9436,30,58,54,0.25866904640489546,0.10638704742478328,36252.64,20435.2,141.5,146.4,0.6000000000000001,7.6,46220,"Tuscaloosa, AL Metropolitan Statistical Area",54.34,34.69
2007-2011,01,069,5,244573880,7061800,26288e3,215760,243444240,996960,121203800,12561200,18254040,93925040,100310,0.12229089821553185,69201,25519,388,835,2799,0.17115433190199544,0.07135135135135136,51789.84,28708.48,548.7727272727273,692.7272727272727,0.7272727272727273,36.90909090909091,20020,"Dothan, AL Metropolitan Statistical Area",45.25,26.05
2007-2011,01,075,0,16200600,452600,1773200,50839.99999999999,17169040,58280,9159880,7159760,2104280,6120640,14644,0.10509423654739142,12574,1762,4,3,179,0.1910431231397522,0.07240257492905101,43041.64,25872.6,26.90909090909091,27.636363636363637,0,6.909090909090909,NA,NA,NA,NA
2007-2011,01,077,5,261719360,3230200,14291e3,225680,292455240,1540080,92660240,25593600,21148200,72645400,92269,0.12878648300079115,79065,9379,354,681,1995,0.17382492358126966,0.07948655473353121,49230.48,28138.079999999998,108.92857142857143,356.75,0.5,20.357142857142858,22520,"Florence-Muscle Shoals, AL Metropolitan Statistical Area",42.04,29.43
2007-2011,01,079,2,37460400,1173040,10513960,682e3,25320800,40920,14147160,8672560,3233920,868e4,34250,0.12648175182481752,26325,3860,1883,64,604,0.14386945016171715,0.0577477212584534,49611.159999999996,24398.24,104.19047619047619,88.76190476190476,0.047619047619047616,6.3809523809523805,19460,"Decatur, AL Metropolitan Statistical Area",57.77,55.18
2007-2011,01,081,3,214043840,21088680,22916440,509640,239615120,1926960,174047639.99999997,18685560,39187720,126680880,137855,0.1959087446955134,96557,31610,527,3780,4374,0.19792500415301206,0.09477928628599906,52476.8,28538.6,564.9,1943.2,2.7,79.4,12220,"Auburn-Opelika, AL Metropolitan Statistical Area",33.68,24.61
2007-2011,01,085,0,10662760,0,2079480,91760,12697600,26040,11073200,1216440,3501759.9999999995,9349600,11538,0.11466458658346333,2924,8520,28,0,82,0.2728303532490188,0.11303968600087222,34602.2,21912.04,66.81818181818181,79.18181818181819,0.2727272727272727,5.2727272727272725,33860,"Montgomery, AL Metropolitan Statistical Area",54.3,42.72
2007-2011,01,087,0,9149960,6200,1970360,0,9441360,221960,6486440,376960,837e3,5074080,21489,0.14756386988691889,3268,17754,75,0,239,0.26715557883708746,0.10890518596123624,36400.2,20786.12,202.86666666666667,288.93333333333334,1.1333333333333333,13,NA,NA,NA,NA
2007-2011,01,089,12,954875640,208320,75379600,374480,1085612560,5091440,481008400,45512960,96762160,331682640,329299,0.14002471917618942,219333,77988,2005,8243,14124,0.1236806116740225,0.054842419344812585,71241.72,38077.92,1103.0714285714287,1920.75,2.9285714285714284,84.75,26620,"Huntsville, AL Metropolitan Statistical Area",49.35,40.55
2007-2011,01,091,0,18261480,644800,3233920,306280,21037840,380680,16689160,3472e3,3573680,14763440,21130,0.11504969238050165,9658,11266,3,1,77,0.20803182057794603,0.07432788613600422,43604.6,23653,176.75,219.08333333333334,0.41666666666666663,12.666666666666666,NA,NA,NA,NA
2007-2011,01,095,1,126126600,1758320,16742480,2193560,138299680,3267400,75292800,16246480,15702119.999999998,60406600,92052,0.13130621822448182,77815,1581,637,527,10557,0.19657556075742091,0.08844636400602245,47818.12,25531.6,309.48,445.8,0.4,21.88,NA,NA,NA,NA
2007-2011,01,101,9,499924600,108589280,65933280,3372800,449316480,5947040,351000600,66533440,57824920,298082360,228939,0.1472444624987442,89974,124127,954,4578,7677,0.19687414687414687,0.07740467740467741,55287.88,30988.84,1162.625,3174.9375,7.8125,171.375,33860,"Montgomery, AL Metropolitan Statistical Area",54.3,42.72
2007-2011,01,103,3,348626e3,6572e3,24077079.999999996,1789320,322345440,2787520,137878080,24814880,24064680,85066480,118521,0.12807013103163153,92586,14009,1212,915,8529,0.14861874204270664,0.053165400620348455,56499.36,29204.48,300.3793103448276,611.3448275862069,0.3793103448275862,32.51724137931035,19460,"Decatur, AL Metropolitan Statistical Area",57.77,55.18
2007-2011,01,105,0,11009960,0,1454520,122760,13098120,133920,8453080,3829120,1884800,6868360,10620,0.13531073446327685,3162,7286,0,31,25,0.25439742687707306,0.10463363152075586,33755.28,17710.92,81.66666666666667,111,0.1111111111111111,6.666666666666667,NA,NA,NA,NA
2007-2011,01,107,0,23708800,921320,3073960,49600,23770800,648520,10952920,7931040,3503e3,5861480,19765,0.11226916266126992,11033,8306,14,5,266,0.27667111613101963,0.11530958003901838,36079.04,20224.4,42.77272727272727,42.22727272727273,0.09090909090909091,4.818181818181818,NA,NA,NA,NA
2007-2011,01,109,1,73641120,1037879.9999999999,7568960,157480,77989800,527e3,26291720,12791840,5190640,18034560,32471,0.17517169166333035,18675,11773,274,613,731,0.2708108285050247,0.1395135683655766,38661.96,23975.4,144.64285714285714,282.7857142857143,0.21428571428571427,19.928571428571427,NA,NA,NA,NA
2007-2011,01,113,1,59325320,603880,12421080,0,67733760,1026720,54117320,7285e3,12454560,36057960,52490,0.1348447323299676,27480,21823,38,314,1894,0.21179106784113738,0.07332715190851491,41854.96,22608.92,435.625,875.75,1.5,56,17980,"Columbus, GA-AL Metropolitan Statistical Area",54.75,36.61
2007-2011,01,115,1,72273400,2378320,13223360,193440,69633440,1588440,54431040,12894760,11126520,44141520,82363,0.13224384735864406,71934,7236,433,502,1690,0.1339556855246879,0.058348642197478096,61008,28487.76,114.16129032258064,183.3548387096774,0.3225806451612903,14.03225806451613,13820,"Birmingham-Hoover, AL Metropolitan Statistical Area",65.22,44.52
2007-2011,01,117,1,229080080,11502240,35403240,1004400,280969120,5046800,227792960,29009800,35720680,130899360,191705,0.12896898881093347,154877,20165,551,3772,10562,0.07228381374722838,0.03235138844894943,85414.92,42440.24,172.19354838709677,367.19354838709677,0.22580645161290322,41.45161290322581,13820,"Birmingham-Hoover, AL Metropolitan Statistical Area",65.22,44.52
2007-2011,01,119,1,19569680,1045319.9999999999,2006320,68200,19296880,166160,11586560,4586760,2718080,7731400,13758,0.14507922663177789,3346,10145,16,2,106,0.3803057287028792,0.19842683288809737,27235.36,17511.28,44.1,71.8,0.2,5.5,NA,NA,NA,NA
2007-2011,01,121,1,75073319.99999999,4594200,9490960,250480,81415920,1923240,62658440,13957440,13332480,48129360,82265,0.12479183127697077,53158,26405,270,380,1632,0.2167279644895371,0.08909321496512365,45395.159999999996,23413.68,640.2352941176471,726.9411764705883,0.6470588235294118,30,NA,NA,NA,NA
2007-2011,01,125,1,295511840,12357840,44647440,157480,329301840,3617080,219729240,74536400,39853600,153316080,191489,0.18216712187123021,124560,57059,494,2288,5580,0.19896679047650354,0.10290460068588458,53987.12,27836.76,962.7894736842105,1721.8947368421052,2.789473684210526,89.94736842105263,46220,"Tuscaloosa, AL Metropolitan Statistical Area",54.34,34.69
2007-2011,01,129,1,14194280,280240,1678960,52080,13888e3,186e3,8300559.999999999,5250160,4625200,7782240,17487,0.13043975524675472,11407,4446,1346,82,110,0.17407407407407408,0.05474537037037037,49954.64,24596.64,69.3125,39,0.0625,5.75,NA,NA,NA,NA
2007-2011,01,133,0,24307720,555520,2602759.9999999995,515840.00000000006,24878120,367040,16282440,6657560,2902840,13332480,24593,0.11348757776603098,23327,208,46,27,648,0.21156634491901072,0.0640457351174448,40370.68,23024.32,102.76470588235294,122.58823529411765,0.11764705882352941,7.176470588235294,NA,NA,NA,NA
2007-2011,02,020,4,1643055800,0,104984600,0,1676942520,7041960,838391280,579034120,506558600,581743520,287390,0.16051358780750896,181797,15844,18720,27533,21645,0.07841735319645424,0.036115735405017,93601.4,44119.2,2337.875,3577.375,6.25,180.75,11260,"Anchorage, AK Metropolitan Statistical Area",41.25,29.1
2007-2011,02,060,0,12142080,0,866760,0,13225840,0,6397160,6828680,2460160,3617080,1035,0.12077294685990338,536,1,318,7,45,0.06019417475728155,0.040776699029126215,99200,44616.44,28.5,49,0,4,NA,NA,NA,NA
2007-2011,02,070,0,23319440,498480,1454520,0,24707e3,33480,9034640,14912240,2041040,5948280,4845,0.1609907120743034,899,16,3272,68,107,0.1969665489299813,0.07936837731144816,71524.44,28027.72,123.5,65,0.25,6,NA,NA,NA,NA
2007-2011,02,090,2,48992400,0,10060120,0,59958960,1346640,48429440,10947960,15413200,25341880,96161,0.18708208109316668,71228,4352,6705,2900,5646,0.07824252924275522,0.03799675020714739,85463.28,39099.68,271.9375,385.5,0.5,23.5,21820,"Fairbanks, AK Metropolitan Statistical Area",37.42,26.71
2007-2011,02,100,0,11564240,0,567920,22320,14521640,31e3,7763640,6425680,2570520,5634560,2519,0.10797935688765382,2032,5,211,22,31,0.0590598633989554,0.014865407794294898,64067.08,37311.6,29.5,45,0,2,NA,NA,NA,NA
2007-2011,02,110,1,303043600,0,16519279.999999998,0,310703080,938680,234219880,71235520,46547120,100106440,31244,0.13884265779029573,21153,240,3538,1902,1666,0.06348274287205585,0.027533111502577153,96056.6,46244.56,769,1373.5,0.5,44,NA,NA,NA,NA
2007-2011,02,170,0,54083840,0,10552400,0,57333880,363320,34426120,20874160,1742200,22626280,86817,0.1366552633700773,72082,859,4045,1236,3278,0.09654526291134793,0.045251200374751145,87225.31999999999,36322.08,105.125,344.25,0,19,11260,"Anchorage, AK Metropolitan Statistical Area",41.25,29.1
2007-2011,02,220,1,98298520,0,5829240,0,100399080,147560,57137960,28842400,6157840,19211320,8879,0.12951908998761122,5693,34,1629,379,444,0.068580727653144255,0.03150063931186795,86549.52,40239.24,89.25,278.25,0.25,18,NA,NA,NA,NA
2007-2011,02,261,0,77852160,579080,2659800,0,90057480,76880,69089080,19707320,38945920,43423560,9596,0.1314089203834931,6867,52,1568,363,106,0.06693539832396309,0.02704996287259998,77175.12,38475.96,35,54.57142857142857,0,7.571428571428571,NA,NA,NA,NA
2007-2011,04,003,2,315934640,24085760,46270600,36700280,329785440,3319480,200449720,121741960,54388880,97632640,130464,0.14024558498896247,76561,4923,1358,2897,41860,0.1615159690473498,0.06810875430122292,56923.44,28887.04,231.9,504.43333333333334,0.8,30,NA,NA,NA,NA
2007-2011,04,007,0,107500560,5034400,14909760,10564800,110394720,648520,58721440,45014480,19383680,43414880,53380,0.10275384038965905,35184,226,7825,114,9479,0.20875923586386433,0.1091650396232916,47002.2,24921.52,204.75,278.8,0.2,25.9,NA,NA,NA,NA
2007-2011,04,011,0,22142680,1838920,959760,0,27111360,17360,9893960,17052480,1946800,4042400,8472,0.13562322946175637,4093,55,156,60,3932,0.1723109945146673,0.0902694967803482,61243.6,25253.84,24.714285714285715,42.14285714285714,0,9.714285714285714,NA,NA,NA,NA
2007-2011,04,012,0,55579280,6532320,9737720,0,58674320,1200320,22600240,34821680,6243400,13807400,20521,0.0894205935383266,12878,217,2548,174,4732,0.19386448690171362,0.0665747488674414,39952.8,26483.92,72.28571428571429,195.64285714285714,0.2857142857142857,19.28571428571429,NA,NA,NA,NA
2007-2011,04,013,53,11795193720,486946760,1425857400,322404960,12099965880,157824720,6910072360,3840654480,1116571640,4024818040,3798374,0.14672699423490157,2245777,185533,70179,136509,1115360,0.14868477419471862,0.06999342213714924,68322.76,34522.84,2476.382716049383,7872.432098765432,12.617283950617283,375.65432098765433,38060,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area",41.31,49.34
2007-2011,04,015,2,494767440,20846880,63990200,5656880,509493680,4638840,301276600,179436680,65975440,197922600,200690,0.10253624993771489,159936,1998,3523,2267,29469,0.16766125583005764,0.075592170919978,50310.52,26606.68,391.03846153846155,1148.6153846153845,1.9230769230769231,54.96153846153846,NA,NA,NA,NA
2007-2011,04,017,2,181963800,23591e3,23569920,1686400,210600360,2026160,129075319.99999999,74672800,24392040,86026240,107418,0.13558249083021467,46935,966,45784,608,11486,0.26238860545031634,0.13082099338572425,48329,21084.96,277.4642857142857,378.9642857142857,0.9285714285714285,24.642857142857142,NA,NA,NA,NA
2007-2011,04,019,21,3021746080,140995440,367382240,120488319.99999999,2855901040,10527600,1416636760,1134032080,484273320,898176640,974181,0.14180937628633694,542627,34836,30976,27206,332417,0.17384210315511212,0.07916871322777645,57462.84,31591.48,2027.2105263157894,2781.8947368421054,8.210526315789474,206.05263157894737,46060,"Tucson, AZ Metropolitan Statistical Area",34.51,46.17
2007-2011,04,021,3,650537480,21135800,78297319.99999999,55435440,773292520,8559720,518527080,245971360,93659680,310231880,351709,0.14672072650969978,205003,15254,18923,7425,101324,0.14312443837167793,0.06911875130790157,63502.88,26559.56,294.9318181818182,980.9772727272727,1.7727272727272727,51.97727272727273,38060,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area",41.31,49.34
2007-2011,04,023,0,117125440,6118160,20086760,5330760,130450480,2093120,69103960,57924120,14530320,47423800,46727,0.12110771074539345,7472,263,274,329,38446,0.261533162551396,0.08684046240285881,47234.08,21795.48,102.375,531,0.25,51.5,NA,NA,NA,NA
2007-2011,04,025,3,537639200,19795360,60762480,41284560,551029960,4216e3,343817279.99999994,176299480,73410480,197156280,210838,0.10174162152932584,173140,1135,4068,1620,28266,0.14932913379759394,0.0683917511871394,54664.159999999996,32274.72,193.20454545454547,448.72727272727275,0.4772727272727273,38.54545454545455,39140,"Prescott, AZ Metropolitan Statistical Area",16.21,24.08
2007-2011,04,027,1,526680079.99999994,43528960,56142240,2839600,407983560,4602880,235416480,143034e3,49586360,160510560,193995,0.14844712492590015,69873,3989,2791,2344,114400,0.20775495541865716,0.07899181290312203,51386.84,23284.72,403.0909090909091,859.6818181818182,1.5909090909090908,52.63636363636364,49740,"Yuma, AZ Metropolitan Statistical Area",36.02,49.53
2007-2011,05,001,0,34878720,2000120,3723720,0,32997640,827080,23742280,7350720,4273040,15605400,19146,0.11318291026846339,13648,4664,91,172,472,0.18225252308353018,0.04401975520721495,48342.64,27552.8,155.41666666666666,256.5833333333333,0.5,12,NA,NA,NA,NA
2007-2011,05,009,0,30071240,1063920,4622720,0,33773880,833280,21964120,7807040,3655520,15688480,36908,0.11823994797875799,35137,96,249,213,690,0.15755786685794687,0.05112147212183077,46751.72,27035.72,173.6,345.2,0.8,21.2,NA,NA,NA,NA
2007-2011,05,011,0,12626920,465e3,1652920,19840,15047400,300080,10197760,3581120,1671520,6187600,11580,0.10466321243523316,6748,3302,154,0,1417,0.25427894321074346,0.10120249275871149,40097.88,23910.92,39.625,87.125,0.25,8,NA,NA,NA,NA
2007-2011,05,013,0,11379480,300080,1026720,352160,13126640,281480,10899600,1502879.9999999998,1129640,2444040,5417,0.1495292597378623,3978,1291,0,0,66,0.09795458810283356,0.03133796209420154,37975,19837.52,9.727272727272727,28.272727272727273,0,4.090909090909091,NA,NA,NA,NA
2007-2011,05,017,0,32282160,368280,2661040,0,34117360,452600,29631040,3162e3,2491160,9157400,11947,0.11492424876538043,4804,6535,0,19,514,0.32471859522737506,0.09031967582170193,29702.96,19335.32,47.375,50.875,0.375,7.75,NA,NA,NA,NA
2007-2011,05,025,0,4976120,228160,598920,0,4154e3,19840,2581680,1248680,861800,1742200,8738,0.11238269626916915,7398,1120,0,0,142,0.1784356640939984,0.08892984679184426,42522.08,23893.56,16.875,61.375,0.125,5,38220,"Pine Bluff, AR Metropolitan Statistical Area",61.36,29.66
2007-2011,05,029,1,21543760,1025480,3648080,35960,22719280,822120,16217960,6062360,2472560,10274640,21164,0.11736911736911737,17430,2508,136,34,757,0.21914200900124486,0.10049794120463468,39543.6,25050.48,175.72727272727272,243.72727272727272,0.2727272727272727,12.09090909090909,NA,NA,NA,NA
2007-2011,05,037,0,19766840,682e3,2667240,162440,19942920,858080,13070840,4658680,2926400,8686200,17992,0.11477323254779902,13359,4023,81,109,256,0.1671648525181885,0.05312729118493035,47655.68,22541.96,131.625,278.5,0.375,17,NA,NA,NA,NA
2007-2011,05,039,0,10695e3,1055240,1418560,0,9633560,319920,6691040,2105520,1083760,4503680,8200,0.10804878048780488,4446,3559,4,0,178,0.18055555555555555,0.08526234567901235,37213.64,20712.96,50.625,83.75,0.375,5.5,NA,NA,NA,NA
2007-2011,05,041,0,27265120,0,3375280,19840,29250360,500960,24271760,4046120,3511680,11396840,13131,0.1168227857741223,6209,6240,64,1,549,0.23822331514639206,0.10228233305156383,38174.64,23956.8,70.15384615384616,93,0.07692307692307693,7,NA,NA,NA,NA
2007-2011,05,047,0,14449720,1067640,1765760,50839.99999999999,16561439.999999998,734080,10577200,3684040,2560600,7364360,18157,0.12265242055405629,17016,180,148,44,383,0.20108543613271415,0.08331002070161696,43175.56,23324.4,75.75,101.5,0.08333333333333333,7.333333333333333,22900,"Fort Smith, AR-OK Metropolitan Statistical Area",50.36,48.29
2007-2011,05,049,0,9974560,0,788640,47120,9271480,153760,6791480,2153880,833280,2699480,12301,0.10031704739452077,11860,38,46,103,103,0.19554002329838577,0.029206190713929107,41268.44,22504.76,33.1,42.5,0.30000000000000004,4.3999999999999995,NA,NA,NA,NA
2007-2011,05,053,1,12521520,1486760,2069560,49600,13730520,674560,9655880,3183080,1984e3,6379800,17767,0.12168627230258344,16677,410,17,31,371,0.086968870711202,0.03044762553965008,63149.479999999996,28011.6,102.875,160.625,0.375,14.5,30780,"Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area",57.97,39.73
2007-2011,05,059,0,25505560,715480,3196720,9920,25984200,1257360,19216280,6175200,4003960,13191120,32797,0.13080464676647255,27647,3363,101,84,894,0.13407071159133047,0.047343520235279074,47353.12,22788.72,52.6,137,0.6000000000000001,16,NA,NA,NA,NA
2007-2011,05,061,0,15744280,709280,1852560,0,15617800,407960,9988200,3190520,1271e3,7640880,13786,0.12432902945016684,9303,2922,137,49,1295,0.2258373911760366,0.08801829718164379,46061.04,22834.6,46.4,97.33333333333333,0.2,8.066666666666666,NA,NA,NA,NA
2007-2011,05,079,0,6925400,89280,1045319.9999999999,6200,7413960,323640,4890560,2067080,1073840,3139680,14141,0.2188671239657733,9255,4287,42,0,400,0.23938189047532984,0.11024760527742634,39035.2,18826.92,34.125,61,0.125,6.5,38220,"Pine Bluff, AR Metropolitan Statistical Area",61.36,29.66
2007-2011,05,081,0,27670600,699360,1667800,2566800,28331520,163680,24018800,3431080,1526440,6578200,13113,0.11263631510714558,9757,2597,126,0,350,0.1660730876432332,0.07657169402291732,47819.36,25119.92,62.25,109.5,0.25,10,NA,NA,NA,NA
2007-2011,05,085,4,56353040,1956720,7454880,23560,53196e3,2300200,37573240,9316120,5970600,25085200,67189,0.13289377725520546,59032,4287,401,456,2170,0.1337379152486221,0.04957383368972683,63359.04,28179,184.07692307692307,302.84615384615387,0.3076923076923077,14.538461538461538,30780,"Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area",57.97,39.73
2007-2011,05,091,1,53631240,4490040,12108600,4960,57712080,1820320,40736480,10598280,7280040,24379640,43266,0.13269079646835852,30636,10455,181,269,1103,0.20299892895394503,0.08892062358681423,49848,24816.12,995.1428571428571,1134.142857142857,1,57.14285714285714,45500,"Texarkana, TX-Texarkana, AR Metropolitan Statistical Area",42.13,34.46
2007-2011,05,097,0,5849080,342240,468719.99999999994,0,5491960,133920,3615840,1311920,788640,2587880,9492,0.09787189211967973,8815,28,156,0,334,0.20164301717699776,0.06870799103808813,43318.159999999996,25317.079999999998,41,64.75,0.25,9,NA,NA,NA,NA
2007-2011,05,099,0,25345600,461280,1302e3,0,25224079.999999996,90520,11260440,2026160,958520,3572440,9078,0.1104868913857678,5873,2861,26,0,218,0.23116707892961547,0.11198560827524173,47127.44,25448.52,37,71.25,0.5,7,NA,NA,NA,NA
2007-2011,05,101,0,4511120,101679.99999999999,622480,13640,4491280,105400,1690120,2801160,637360,1096160,8353,0.10930204716868192,7915,35,32,0,39,0.21614425753358343,0.06982935979668402,36830.48,20792.32,71.66666666666666,109.33333333333333,1.3333333333333333,7,NA,NA,NA,NA
